,Functional grp name,SMARTS,Smiles
61,Alkyl or aryl sylfonyl halides,"[CX4,a!r0][Sv6X4](=[OX1])(=[OX1])[F,Cl,Br,I]",*S(*)(=O)=O
62,Sulfonamides,"c1c([Sv6X4](=[OX1])(=[OX1])[NX3H1][$([#1]),$([CX4]),$([a!r0])])ccc([NX3H2])c1",*[NH]S(=O)(=O)c1ccc([NH2])cc1
63,Dithiocarbamates,[SX2][CX3](=[SX1])[NX3],NC(S)=S
64,Hydrazines,"[#6&!$([CX3]=[OX1,SX1,NX2])][NX3H1][NX3H2,$([NX3H1][#6&!$([CX3]=[OX1,SX1,NX2])])]",*[NH]C
65,Aromatic nitro (general),"[a!r0][$([NX3+](=[OX1])([O-])),$([NX3](=O)=O)]",**
66,Aromatic amine (general),[a!r0][NX3H2],*[NH2]
67,Three-membered heterocycles (general),"[NX3H1,SX2,OX2]1[CX4][CX4]1",*1CC1
68,Nitroso (general),[NX2]=[OX1],N=O
69,Unsubstituted heteroatom-bonded heteroatom (general),"[$([NX3H2]-[#7]),$([NX3H2]-[#8]),$([OX2H1]-[#7]),$([OX2H1]-[#8])]",*
70,Azo-type (general),[NX2]=[NX2],N=N
71,Aliphatic halide (general),"[CX4][Cl,Br,I]",*C
72,Polycyclic aromatic system (general),"[$([aR3]),$([$([aR2]([aR])([aR])([aR]))].[$([aR2]([aR])([aR])([aR]))].[$([aR2]([aR])([aR])([aR]))].[$([aR2]([aR])([aR])([aR]))])]",*
73,Aromatic nitroso (specific),[a!r0][NX2]=[OX1],*N=O
74,Alkyl nitrite (specific),[OX1]=[NX2][OX2][CX4],CON=O
75,Nitrosamine (specific),"[OX1]=[NX2][NX3]([#6,#1])[#6,#1]",*N(*)N=O
76,Epoxide (specific),[CX4]1[OX2][CX4]1,C1CO1
77,Aziridine (specific),[CX4]1[NX3H1][CX4]1,C1C[NH]1
78,Azide (specific),"[$([NX2]=[NX2+]=[NX1-]),$(N=[NX2+]=N),$([NX2-]-[NX2+]#[NX1])]",*
79,Diazo (specific),"[$([#6]=[NX2+]=N),$([#6]=[NX2]=[NX1]),$([#6]=[NX2+]=[NX1-]),$([#6]-[NX2+]#[NX1]),$([#6-]-[NX2+]#[NX1])]",*
80,Triazene (specific),[NX3!R][NX2!R]=[NX2!R],NN=N
81,Aromatic hydroxylamine (specific),[a!r0][NX3H1][OH1],*[NH][OH]
82,Aliphatic halide (specific),"[Cl,Br,I][$([CX4]);!$([CX3](=[OX1,SX1,NX2]));!$([CH2][CH2][SX2,NX3])]",**
83,Carboxylic acid halide (specific),"[Cl,Br,I][CX3](=[OX1])[#1,*&!$([OH1])&!$([SH1])]",*C(*)=O
84,Nitrogen and sulphur mustard (specific),"[Cl,Br,I][CH2][CH2][SX2,NX3]",*[CH2][CH2]*
85,Bay-region in polycyclic aromatic hydrocarbons (specific),[cR1H1]1[cR1H1][cR1][cR1][cR2]2[cR2]1[cR2]3[cR2]([cR1][cR1]2)[cR1][cR1][cR1H1][cR1H1]3,c1cc2ccc3cc[cH][cH]c3c2[cH][cH]1
86,K-region in polycyclic aromatic hydrocarbons (specific),[cR1]1[cR1][cR1][cR1H1][cR2]2[cR2]1[cR2]3c([cR1H1][cR1H1]2)[cR1H1][cR1][cR1][cR1]3,c1c[cH]c2[cH][cH]c3[cH]cccc3c2c1
87,Sulfonate-bonded carbon atom (additional),[CX4][Sv6X4](=[OX1])(=[OX1])[OX2],CS(O)(=O)=O
88,"α, β-Unsaturated aldehyde (additional)",[CX3]=[CX3][CX3;H1]=[OX1],C=CC=O
89,Aliphatic N-nitro (additional),"[NX3][$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1][O-]))]",*N
90,Diazonium (additional),"[$([a!r0][NX2+]#[NX1]),$([a!r0][NX2]#[NX1])]",*
91,β-Propiolactone (additional),[OX2]1[CX4][CX4][CX3]1(=[OX1]),O=C1CCO1
92,"α,β-Unsaturated alkoxy (additional)",[CX4][OX2][CX3H1]=[CX3H1],CO[CH]=[CH]
93,1-Aryl-2-monoalkyl hydrazine (additional),[a!r0][NX3H1]-[NX3H1][CX4],*[NH][NH]C
94,Aromatic methylamine (additional),[a!r0][NX3;H1][CH3],*N[CH3]
95,Aromatic hydroxylamine ester (additional),[a!r0][NH][OX2][CX3](=[OX1]),*[NH]OC=O
96,Polycyclic planar system (additional),[*R1]1[*R2]2=[*R1][*R1]=[*R1][*R1]=[*R2]2[*R1][*R2]3=[*R1][*R1]=[*R1][*R1]=[*R2]13,*1*2=**=**=*2**2=**=**=*12
97,Acyl halides,"[Br,Cl,F,I][CX3](=[OX1])[#1,*&!$([OH1])&!$([SH1])]",*C(*)=O
98,N-Methylol derivatives,[OX2;H1][CH2][NX3],N[CH2]O
99,Monohaloalkene,"[CX3]([CX4,#1])([F,Cl,Br,I])=[CX3]([CX4,#1])[!F!Cl!Br!I]",*C(*)=C(*)*
100,S or N mustard,"[F,Cl,Br,I][CH2][CH2][NX3,SX2][CH2][CH2][F,Cl,Br,I]",*[CH2][CH2]*[CH2][CH2]*
101,Propiolactones or propiosultones,"[$([OX2]1[CX4][CX4][CX3]1(=[OX1])),$([CX4]1[CX4][CX4][Sv6;X4](=[OX1])(=[OX1])[OX2]1)]",*
102,Epoxides and aziridines,"[CX4]1[OX2,NX3][CX4]1",*1CC1
103,Aliphatic halogens,"[CX4;!H0][Br,Cl,I]",*C
104,Alkyl nitrite,[OX1]=[NX2][OX2][CX4],CON=O
105,Simple aldehyde,"[CX3]([H])(=[OX1])[#1,#6&!$([CX3]=[CX3])]",*C([H])=O
106,Hydrazine,[NX3;!$([NX3](=[OX1])=[OX1]);!$([NX3+](=[OX1])[O-])][NX3;!$([NX3](=[OX1])=[OX1]);!$([NX3+](=[OX1])[O-])],NN
107,Aliphatic azo and azoxy,"[$([C,#1][NX2]=[NX2][C,#1]),$([CX3]=[NX2+]=N),$([CX3]=[NX2+]=[NX1-]),$([CX3-][NX2+]#[NX1]),$([CX3][NX2]#[NX1]),$(C[NX2]=N(=O)[*]),$(C[NX2]=[N+]([O-])[*])]",*
108,Isocyanate and isothiocyanate groups,"[NX2]=[CX2]=[OX1,Sv2X1]",*=C=N
109,Alkyl carbamate   and  thiocarbamate,"[NX3]([C,#1])([C,#1])[CX3](=[OX1,Sv2X1])[OX2,Sv2X2]C",*N(*)C(=*)*C
110,Thiocarbonyl,"[$([NX3][CX3](=[Sv2X1])[NX3]),$([CX3;!$(C[OH]);!$(C[SH]);!$(C[O-]);!$(C[S-]);!$(CO[#6])](=[Sv2X1])[NX3])]",*
111,Heterocyclic polycyclic aromatic hydrocarbons,"[$([aR3].[n,o,s]),$([$([aR2]([aR])([aR])([aR]))].[$([aR2]([aR])([aR])([aR]))].[$([aR2]([aR])([aR])([aR]))].[$([aR2]([aR])([aR])([aR]))].[n,o,s])]",*
112,Alkyl and aryl N-nitroso groups,[#6][NX3][NX2]=[OX1],CNN=O
113,Azide and triazene groups,"[$([NX2!R]=[NX2!R][NX3!R]),$([NX2]=[NX2+]=[NX1-]),$([NX2]=[NX2+]=N)]",*
114,Aliphatic N-nitro group,"[NX3]([#1,C])([#1,C])[$([NX3+](=[OX1])[O-]),$([NX3](=O)=O)]",*N(*)*
115,"α, β-Unsaturated aliphatic alkoxy group",C[CX3;H1]=[CX3;H1][OX2][#6],CC=COC
116,Aromatic nitroso group,[a!r0][NX2]=[OX1],*N=O
117,Aromatic ring N-oxide,[O-][N+]1=CC=CC=C1,[O-][N+]1=CC=CC=C1
118,Coumarins and furocoumarins,"[$(c1cccc2c1oc(=O)cc2),$(C1=CC(=O)OC2=CC=CC=C12),$(C1=CC(=O)Oc2ccccc12)]",*
119,Halogenated benzene,"c1ccccc1[$([Br,Cl,F,I]);!$([Br,Cl,F,I]aa[Br,Cl,F,I]);!$([Br,Cl,F,I]aaa[Br,Cl,F,I]);!$([Br,Cl,F,I]aa([OH])a([OH])a[OH]);!$([Br,Cl,F,I]aaa([OH])a([OH])a[OH]);!$([Br,Cl,F,I]aa([OH])a([OH])aa[OH])]",*c1ccccc1
120,Halogenated PAH,"[Br,Cl,F,I][$([cR1]1[cR1][cR1][cR1][cR1][cR1]1-[cR1]2[cR1][cR1][cR1][cR1][cR1]2),$([cR1]1[cR1][cR1][cR1][cR2]2[cR2]1[cR1][cR1][cR1][cR1]2)]",**
121,Halogenated dibenzodioxins,"[OR1]1[CR2]2=[CR1][CR1]=[CR1][CR1]=[CR2]2[OR1][CR2]3=[CR1][CR1]([F,Cl,Br,I])=[CR1][CR1]=[CR2]13",*C1=CC=C2OC3=CC=CC=C3OC2=C1
122,Primary and secondary aromatic amines,"[$([a!r0][NX3;H2]),$([a!r0][NX3;H1][CH3]),$([a!r0][NX3;H1][CH2][CH3])]",*
123,Tertiary aromatic amines,"a[NX3]([$([CH3]),$([CH2][CH3])])[$([CH3]),$([CH2][CH3])]",*N(*)*
124,Secondary aromatic acetamides and formamides,"[$([a!r0][NX3;H1][CX3;H1](=[OX1])),$([a!r0][NX3;H1][CX3](=[OX1])[CH3])]",*
125,Nitroarenes,"[a!r0][$([NX3+](=[OX1])[O-]),$([NX3](=O)(=O))]",**
126,Nitrosoarenes,[a!r0][NX2]=[OX1],*N=O
127,Arylhydroxylamines,"[a!r0][NX3;H1][OX2][#1,#6]",*NO*
128,N-Nitroso-N-dialkylamines,[NX3]([CX4])([CX4])[NX2]=[OX1],CN(C)N=O
129,N-Nitroso-N-alkylamides,"[CX4,a!r0][CX3](=[OX1])[NX3]([CX4])[NX2]=[OX1]",*C(=O)N(C)N=O
130,N-Nitroso-N-alkylureas,"[OX1]=[NX2][NX3]([CX4])[CX3](=[OX1])[NX3H1][CX4,a!r0]",*[NH]C(=O)N(C)N=O
131,N-Nitroso-N-alkylcarbamates (aka urethanes),"[OX1]=[NX2][NX3]([CX4])[CX3](=[OX1])[OX2][CX4,a!r0]",*OC(=O)N(C)N=O
132,N-Nitroso-N-alkylnitriles,[OX1]=[NX2][NX3]([CX4])[CX2]#[NX1],CN(C#N)N=O
133,N-Nitroso-N-hydroxylamines,[OX1]=[NX2][NX3]([OH1])[#6],CN([OH])N=O
134,Benzylic halides,"[a!r0][CH2][Cl,Br,I]",*[CH2]*
135,Oxiranes and aziridines,"[CX4]1[OX2,NX3][CX4]1",*1CC1
136,Propiolactones,[OX2]1[CX4][CX4][CX3]1(=[OX1]),O=C1CCO1
137,Alkyl esters of sulfonic and sulphuric acids,"[$([CX4,a!r0][Sv6X4](=[OX1])(=[OX1])[OX2][$([CH3]),$([CH2][CH3])]),$([CX4,a!r0][OX2][Sv6X4](=[OX1])(=[OX1])[OX2][$([CH3]),$([CH2][CH3])])]",*
138,Alkyl esters of phosphonic and phosphoric acids,"[$([CX4,a!r0][Pv5X4](=[OX1])([OX2][$([CH3]),$([CH2][CH3])])[OX2][$([CH3]),$([CH2][CH3])]),$([CX4,#1][OX2][Pv5X4](=[OX1])([OX2][CX4,#1])[OX2][$([CH3]),$([CH2][CH3])])]",*
139,Mixed alkyl esters of thiophosphoric acid,"[CX4][OX2][Pv5X4](=[SX1])([OX2][CX4,#1])[OX2][$([CH3]),$([CH2][CH3])]",*OP(=S)(O*)OC
140,Haloethylamines,"[NX3]([#1,#6])([#1,#6])[CH2][CH2][Cl,Br,I,F]",*[CH2][CH2]N(*)*
141,Haloalkylethers,"[$([#6][OX2][CH2][CH2][Cl,Br,I]),$([#6][OX2][CH2][Cl,Br,I])]",*
142,α-Halocarbonyl or a-halohydroxy,"[$([CX3](=[OX1])[CH2][Cl,Br,I]),$([CX4!H0]([OH1])[CH2][Cl,Br,I])]",*
143,Haloamines,"[#6][NX3]([#6])[Cl,Br,I,F]",*N(C)C
144,Allylic halides and alkoxides,"[CX3]=[CX3][CH2][$([Cl,Br,I]),$([OX2])]",*[CH2]C=C
145,Halogenated methanes,"[CX4]([H,F,Cl,Br,I])([H,F,Cl,Br,I])([H,F,Cl,Br,I])[F,Cl,Br,I]",*C(*)(*)*
146,Vinyl halides,"[CX3]=[CX3H1][Cl,Br,I]",*[CH]=C
147,Isocyanate,[NX2]=[CX2]=[OX1],N=C=O
148,Isothiocyanate,[NX2]=[CX2]=[SX1],N=C=S
149,Alkyl esters of phosphonic or sulphonic acids,"[$([CX4,a][Sv6X4](=[OX1])(=[OX1])[OX2][CX4]),$([CX4,a][Pv5X4](=[OX1])([OX2][#1,CX4])[OX2][CX4])]",*
150,Aromatic nitro groups,"[a!r0][$([NX3+](=[OX1])[O-]),$([NX3](=[OX1])=[OX1]);!$([NX3]a(a-[!#1])a-[!#1]);!$([NX3]aa-C(=[OX1])[OH])]",**
151,Aromatic rings N-oxides,[O-][N+]1=CC=CC=C1,[O-][N+]1=CC=CC=C1
152,Aromatic mono- and dialkylamino groups,"[a!r0][$([NX3H1][CH3]),$([NX3H1][CH2][CH3]),$([NX3]([CH3])[CH3]),$([NX3]([CH3])[CH2][CH3]),$([NX3]([CH2][CH3])[CH2][CH3]);!$([NX3]a(a-[!#1])a-[!#1]);!$([NX3]aa-C(=[OX1])[OH])]",**
153,Alkyl hydrazines,"[NX3]([CX4])([#1,CX4])[NX3]([#1,CX4])[#1,CX4]",*N(*)N(*)C
154,Alkyl aldehydes,"[$([CX3]([H])(=[OX1])[#1,CX4])&!$([CX3]([H])(=[OX1])[CX3]=[CX3])]",*
155,Monohaloalkenes,"[CX3]([CX4,#1])(Cl)=[CX3]([!F!Cl!Br!I])[CX4,#1]",*C(*)=C(*)Cl
156,"β-Haloethyl N, S - mustards","[F,Cl,Br,I][CH2][CH2][NX3,SX2][CH2][CH2][F,Cl,Br,I]",*[CH2][CH2]*[CH2][CH2]*
157,N-Chloroamines,[#6][NX3]([#6])Cl,CN(C)Cl
158,Propiolactones and propiosultones,"[$([OX2]1[CX4][CX4][CX3]1(=[OX1])),$([CX4]1[CX4][CX4][Sv6;X4](=[OX1])(=[OX1])[OX2]1)]",*
159,Aromatic and aliphatic aziridinyl derivatives,[CX4]1[NX3][CX4]1,C1CN1
160,Aromatic and aliphatic substituted primary alkyl halides,"[F,Cl,Br,I][CH2][CX4,a]",*[CH2]*
161,Derivatives of urethane (carbamates),[NX3][CX3](=[OX1])[OX2],NC(O)=O
162,Aliphatic and aromatic epoxides,"[$([CX4]1[OX2][CX4]1),$([#6]1=[#6][#8]1)]",*
163,Activated halo- or nitropyridines,"[$(c1([F,Cl,Br,I,$(N(=O)=O)])ncc([F,Cl,Br,I,$(N(=O)=O),$(C#N),$(C=O),$(C(F)(F)F),$(S=O)])cc1),$(c1([F,Cl,Br,I,$(N(=O)=O)])ncccc1([F,Cl,Br,I,$(N(=O)=O),$(C#N),$(C=O),$(C(F)(F)F),$(S=O)]))]",*
164,2-Halo- or 2-nitropyrimidines,"c1([F,Cl,Br,I,$(N(=O)=O)])ncccn1",*c1ncccn1
165,4-Halo- or 4-nitropyrimidines,"c1([F,Cl,Br,I,$(N(=O)=O)])ncncc1",*c1ccncn1
166,Activated 2-halo- or 2-nitropyrazines,"c1([F,Cl,Br,I,$(N(=O)=O)])ncc([F,Cl,Br,I,$(N(=O)=O),$(C#N),$(C=O),$(C(F)(F)F),$(S=O)])nc1",*c1cnc(*)cn1
167,Halo- or nitro s-triazines,"c1nc([F,Cl,Br,I,$(N(=O)=O)])ncn1",*c1ncncn1
168,Formaldehyde and thioformaldehyde,"[CH2]=[OX1,SX1]",*=C
169,Aliphatic aldehydes and thioaldehydes,"[CX4][CX3H1]=[OX1,SX1]",*=[CH]C
170,Aromatic aldehydes,[a][CX3H1]=[OX1],*[CH]=O
171,"α, β-Unsaturated carbonyl and thiocarbonyl compounds","C(C)(C)=CC=[OX1,SX1]",*=CC=C(C)C
172,"α, β-Unsaturated ketones and  thioketones","[C;!r5]([C;!r5])=[C;!r5][C;!r5](C)=[OX1,SX1;!r5]",*=C(C)C=CC
173,α-Diketones and α-dithiones,"[#6]C(=[OX1,SX1])C(=[OX1,SX1])[#6]",*=C(C)C(=*)C
174,β-Diketones and β-dithiones,"[#6]C(=[OX1,SX1])[CX4]C(=[OX1,SX1])[#6]",*=C(C)CC(=*)C
175,"C-Nitroso compounds,  iso(thio)cyanates, (thio)cyanate esters","[#6][$([NX2]=O),$(N=C=O),$(OC#N),$(SC#N),$(N=C=S)]",*C
176,Primary alkyl amines,[CH2][NH2],[CH2][NH2]
177,Tertiary alkyl amines,[CH2][NX3]([CH3])[CH3],[CH2]N([CH3])[CH3]
178,"α, β-Unsaturated alkoxy","[$(CC(C)=[CH][CH2][OH]),$(CC=C(C)[CH2][OH])]",*
179,Three-membered heterocycles derivatives,"[CH,CH2,CH3;!$([CH2]CC=[O,S])]([F,Cl,Br,I,$(OS(=O)(=O)[#6,#1]),$(OS(=O)(=O)O[#6,#1])])[#6]1[O,N,SX2][#6]1",**C1*C1
180,Lactones and their thio analogues,"C1C(=[O,S])[O,S][CH2,CH]1",*=C1**C1
181,Esters of aromatic and unsaturated alcohols and their thio analogues,"[$(C=C),$(C#C),a][CH2,CH][O,S][$([CH]=O),$([CH]=S),$(C(C)=O),$(C(C)=S)]",****
182,Aryloxy (arylthio) containing unsaturated compounds,"[$(C=C),$(C#C),a][CH2,CH][O,S][a]",****
183,Aliphatic N-(thio)nitroso compounds,"[CH2,CH3][NX3][NX2]=[O,S]",*NN=*
184,Anthracene and anthracene-containing compounds,c1ccc2cc3ccccc3cc2c1,c1ccc2cc3ccccc3cc2c1
185,Phenanthrene and phenanthrene-containing compounds,c1ccc2c(c1)ccc3ccccc23,c1ccc2c(c1)ccc1ccccc12
186,Activated alkene (Michael acceptor) (1),"[CH2,CH]=[CH][$(N(=[OX1])=[OX1]),$(C=O),$(C#N),$(S=O),$(C(=O)N),$(a)]",*[CH]=*
187,Activated alkene (Michael acceptor) (2),"[CH2]=C[$(N(=[OX1])=[OX1]),$(C=O),$(C#N),$(S=O),$(C(=O)N),$(a)]",*C=C
188,Activated alkene (Michael acceptor),"aC=C[$(N(=[OX1])=[OX1]),$(C=O),$(C#N),$(S=O),$(C(=O)N),$(a)]",*C=C*
189,Activated alkine,"C#C[$(N(=[OX1])=[OX1]),$(C=O),$(C#N),$(S=O),$(C(=O)N),$(a)]",*C#C
190,Activated conjugated dienes,"[CH2,CH]=[CH]C=C[$(N(=[OX1])=[OX1]),$(C=O),$(C#N),$(S=O),$(C(=O)N),$(a)]",*C=C[CH]=*
191,Alkenes containing a gem-dihalo-substituted terminal double bond,"C=C([F,Cl,Br,I])[F,Cl,Br,I]",*C(*)=C
192,Ortho-disubstituted benzenes,"c1c([O,NH2,NH])c([O,NH2,NH])ccc1",*c1ccccc1*
193,Para-disubstituted benzenes,"c1c(=[O,NH2,NH])ccc(=[O,NH2,NH])c1",*=c1ccc(=*)cc1
194,Haloanhydrides,"[F,Cl,Br,I][CX3](=[OX1])[#1,*&!$([OH1])&!$([SH1])]",*C(*)=O
195,Acylimidazoles,[#6][CX3](=[OX1])n1cncc1,CC(=O)n1ccnc1
196,Acylbenzotriazoles,[#6][CX3](=[OX1])n1nnc2ccccc12,CC(=O)n1nnc2ccccc21
197,Anhydrides and mixed anhydrides,[CX3](=[OX1])[OX2][CX3](=[OX1]),O=COC=O
198,Phosphorus halogen derivatives (1),"[Pv5X4](=[OX1])([F,Cl,Br,I])([#6])[#6]",*P(C)(C)=O
199,Phosphorus halogen derivatives (2),"[Pv5X4](=[OX1])([F,Cl,Br,I])([#8])[#6]",*P(C)(O)=O
