,Len,Functional grp name,SMARTS,Smiles,Validity
131,26,Sulphone-sulfates,[#6][Sv6X4](=[OX1])(=[OX1])[CX4][CX4][OX2][Sv6X4](=[OX1])(=[OX1])[OH1],CS(=O)(=O)CCOS(=O)(=O)[OH],Valid
132,14,Poly aromatic hydrocarbons,"[c;R1,R2,R3]1[c;R1,R2,R3][c;R1,R2,R3][c;R2,R3]2[c;R2,R3]([c;R1,R2,R3]1)[c;R1,R2,R3][c;R1,R2,R3][c;R1,R2,R3][c;R1,R2,R3]2",c1ccc2ccccc2c1,Valid
133,11,Aliphatic amines,[#6][CH2][NX3H2],C[CH2][NH2],Valid
134,14,Piperizines,[NH]1CC[NH1]CC1,C1C[NH]CC[NH]1,Valid
135,11,Morpholines,O1CC[NH1]CC1,C1COCC[NH]1,Valid
136,5,Sulfuranes,C1[SX2]C1,C1CS1,Valid
137,11,Vinyl benzenes,c1([CX3!R]=[CX3!R])ccccc1,C=Cc1ccccc1,Valid
138,12,Thiosulphonates,[#6][SX2][SX4](=O)(=O)[#6],CSS(C)(=O)=O,Valid
139,8,Sulfoxides of disulfides,[#6][SX2][SX3](=O)[#6],CSS(C)=O,Valid
140,16,N-Chloro-sulphonamides,[#6][SX4](=O)(=O)[NH]Cl,CS(=O)(=O)[NH]Cl,Valid
141,17,Polarized alkenes with an alkyl sulphonate leaving group,C=[CH]OS(=O)(=O)[#6],CS(=O)(=O)O[CH]=C,Valid
142,18,Polarized alkenes with an alkyl sulfate leaving group,C=[CH]OS(=O)(=O)O[#6],COS(=O)(=O)O[CH]=C,Valid
143,39,Formaldehyde releasers (2),[#7X3]1(C[OH1])C(=[OX1])[#7X3](C[OH1])C([CH3])([CH3])C1(=[OX1]),[CH3]C1([CH3])C(=O)N(C[OH])C(=O)N1C[OH],Valid
144,19,Formaldehyde releasers (4),[OH1][CX4][NX3H1][CX4][CX3](=[OX1])[OX2H1],O=C([OH])C[NH]C[OH],Valid
145,15,Formaldehyde releasers (5),c1ccccc1[CX4][OX2][CX4][OH1],[OH]COCc1ccccc1,Valid
146,30,Dibenzazepines,N([CX4])([CX4])C1=Nc2ccccc2[NX3H1]c3c1cccc3,CN(C)C1=Nc2ccccc2[NH]c2ccccc21,Valid
147,11,Formamides,[CX3H1](=[OX1])[NX3H1][#6],C[NH][CH]=O,Valid
148,24,Sulfonylureas,[#6][Sv6X4](=[OX1])(=[OX1])[NX3H1][CX3](=[OX1])[NX3H1][#6],C[NH]C(=O)[NH]S(C)(=O)=O,Valid
149,20,Benzo-dioxolanes,c1ccc([OX2]2)c([OX2][CX4H1]2[OH1])c1,[OH][CH]1Oc2ccccc2O1,Valid
150,7,Furans,c1ccc[oX2]1,c1ccoc1,Valid
151,7,Thiophenes,c1ccc[sX2]1,c1ccsc1,Valid
152,17,Thiazolidinediones,[SX2]1[CX3](=[OX1])[NX3H1][CX3](=[OX1])[CX4]1[#6],CC1SC(=O)[NH]C1=O,Valid
153,10,Carboxylic acids,[#6][CX3](=[OX1])[OH1],CC(=O)[OH],Valid
154,4,Thioles,[Sv2X2H1],[SH],Valid
155,8,Sulphonic acids/esters,S(=O)(=O)O,OS(=O)=O,Valid
156,11,Sulphonic acid,[Sv6X4](=[OX1])(=[OX1])[OH1],O=S(=O)[OH],Valid
157,1,Phosphorus,P,P,Valid
158,6,Selen,[Se],[SeH2],Valid
159,1,Bor,B,B,Valid
160,6,Silicium,[Si],[SiH4],Valid
161,3,Thione,[CX3]=[SX1!R],C=S,Valid
162,9,β-hydroxy substituted carbonyls,[CX3](=[OX1])[C!H0]C[OH1],O=CCC[OH],Valid
163,7,Thiourea,[#7][CX3](=[SX1])[#7],NC(N)=S,Valid
164,25,Alkyl chains,[CX4H2!R][CH2][CH2][CX4H2!R][CH2],[CH2][CH2][CH2][CH2][CH2],Valid
165,12,"Non-cyclic 1,2-dicarbonyls compounds",C[C!R](=[OX1])[C!R](=[OX1])C,CC(=O)C(C)=O,Valid
166,16,Coumarins (3),c1cccc2c1oc(=[OX1])[c!H0]c2,O=c1ccc2ccccc2o1,Valid
167,16,Coumarins (4),c1cccc2c1nc(=[OX1])[c!H0]c2,O=c1ccc2ccccc2n1,Valid
168,16,Coumarins (5),c1cccc2c1nc(=[NX2])[c!H0]c2,N=c1ccc2ccccc2n1,Valid
169,16,Coumarins (7),c1cccc2c1oc(=[NX2])cc2,N=c1ccc2ccccc2o1,Valid
170,17,Maleimides,C1(=[OX1])NC(=[OX1])[CX3H1]=[CX3]1,O=C1C=[CH]C(=O)N1,Valid
171,6,"Michael acceptors (α,β-unsaturated carbonyls)",[CX3!H0!R]=[CX3!R][CX3]=[OX1],C=CC=O,Valid
172,6,Michael acceptors (acrylonitriles),[CX3!H0!R]=[CX3!R][CX2]#[NX1],C=CC#N,Valid
173,16,"Michael acceptors (α,β-unsaturated ketones)",C[CX3H1]=[CX3H1!R][CX3](=[OX1])C,C[CH]=[CH]C(C)=O,Valid
174,10,Michael acceptors (methyl acrylonitrile derivatives),C[CX3H1]=[CX3!R][CX2]#[NX1],C[CH]=CC#N,Valid
175,12,o-Quinones (5),CC(=[OX1])C(=S)C,CC(=O)C(C)=S,Valid
176,34,p-Quinones (2),"[#6]1=,:[#6]-,:[#6]=,:[#6]2-,:[#6](=,:[#6]1)-,:[#6](=[OX1])-,:[#6]4-,:[#6]3=,:[#6]2-,:[#8]-,:[#7]=,:[#6]3-,:[#6]=,:[#6]-,:[#6]4",O=C1C2CC=CC3=NOC(=C23)C2=CC=CC=C12,Valid
177,40,p-Quinones (3),"[#6]1-,:[#6]=,:[#6]-,:[#6]=,:[#6]2-,:[#6]1-,:[#6](=[OX1])-,:[#6]4=,:[#6]3-,:[#6]2=,:[#6](-,:[#6](=[OX1])-,:[#7]-,:[#6]3=,:[#6]-,:[#6]=,:[#6]4)O",OC1=C2C3=CC=CCC3C(=O)C3=C2C(=CC=C3)NC1=O,Valid
178,16,Hydroquinone,c1c([OH1])c([OH1])ccc1,[OH]c1ccccc1[OH],Valid
179,2,N-N Single bound not in a ring,[N!R][N!R],NN,Valid
180,11,Ketal,CC([OX2]C)([OX2]C)C,COC(C)(C)OC,Valid
181,10,Acetal,[CX4H1](C)([OX2]C)([OX2]),CO[CH](C)O,Valid
182,12,Amidotetrazole,"[#7]1([CX3]=[OX1])-,:[#6]=,:[#7]-,:[#7]=,:[#7]1",O=CN1C=NN=N1,Valid
183,15,Rhodanines,N1C(=[SX1])[SX2]C(=C)[CX3]1=[OX1],C=C1SC(=S)NC1=O,Valid
184,18,Other undesirable policyclic (adamantane derivatives),C1C4CC9CC1CC(C4)C9,C1C2CC3CC1CC(C2)C3,Valid
185,18,"Other undesirable policyclic (1,3,5-triazaadamantane derivatives)",C1N4CN8CC1CN(C4)C8,C1C2CN3CN1CN(C2)C3,Valid
186,21,"Other undesirable policyclic (2,3-dihydro-1H-phenalene derivatives)",c1ccc2c3c1cccc3CCC2,C1Cc2cccc3cccc(c23)C1,Valid
187,18,Other undesirable policyclic (acenaphthene derivatives),c1ccc2c3c1cccc3CC2,C1Cc2cccc3cccc1c23,Valid
188,6,Cyano carbonyl compounds ,N#CC(=O),N#CC=O,Valid
189,5,Compounds containing three bonded nitrogen atoms,[NX1]~[NX2]~[NX2],N~N~N,Valid
190,6,Benzyl ammoniums,cC[NX4+],cC[N+],Valid
191,8,α-Carbonyl ammoniums,C(=O)[#6][NX4+],[N+]CC=O,Valid
192,9,Enamines,[#6][CX3](!@N)=[CX3][#6],CC=C(C)~N,Valid
193,7,Acetoxy group attached to the aromatic nitrogen,C(=O)Onnn,nnnOC=O,Valid
194,3,Singel acyclic N-N bonds,[#7]!@-N,N~N,Valid
195,11,Activated double bonds (1),[C!H0]=C(C#N)C(=O),C=C(C=O)C#N,Valid
196,7,N-Acyl substituted azoheterocycles,nC(=O)[#6],CC(n)=O,Valid
197,2,Singel acyclic N-S bonds,[NR0]-[SR0!v6],NS,Valid
198,8,Phosphonates,[#6]P(=O)O[#6],COP(C)=O,Valid
199,16,p-Quinones,O=C1C=CC(=O)C=C1,O=C1C=CC(=O)C=C1,Valid
200,14,o-Quinones,O=C1C(=O)C=CC=C1,O=C1C=CC=CC1=O,Valid
201,4,Thiocarboxylic acids and their derivatives,[CR0](=O)S,O=CS,Valid
202,13,"N-Acetoxy-N,N-dicarbonyl compounds",C(=O)N(C(=O))OC=O,O=CON(C=O)C=O,Valid
203,11,Trifluoromethyl sulfinyls,FC(F)(F)S(=O),O=SC(F)(F)F,Valid
204,4,Non-threevalent nitrogen double-bonded to oxygen,[#6!c][N!v3]=O,CN=O,Valid
205,20,Anthracenes,c12ccccc1cc3ccccc3c2,c1ccc2cc3ccccc3cc2c1,Valid
206,15,β-Aminonaphtalenes,c1(cc(N)cc2)c2cccc1,Nc1ccc2ccccc2c1,Valid
207,3,Dialkyl(aryl) phosphorus containing compounds,[#6]P[#6],CPC,Valid
208,4,Phosphocyanates,PC#N,N#CP,Valid
209,8,α-Hydroxy nitriles,N#CC[OH],N#CC[OH],Valid
210,6,α-Diketones,[CX3R0](=O)[CX3R0](=O),O=CC=O,Valid
211,2,Singel acyclic N-O bonds,[NR0v3]-[OR0],NO,Valid
212,11,Activated double bonds (4),C=C(C#N)(C#N),C=C(C#N)C#N,Valid
213,3,Nitroso compounds,[NX2]=O,N=O,Valid
214,19,Pentafluorobenzenes,c1c(F)c(F)c(F)c(F)c1(F),Fc1cc(F)c(F)c(F)c1F,Valid
215,22,Phenanthrenes,c12ccccc1ccc3ccccc23,c1ccc2c(c1)ccc1ccccc12,Valid
216,17,p-Aminoanilines,c1([NH2])ccc(!@[Nv3])cc1,[NH2]c1ccc(~N)cc1,Valid
217,1,Phosphorus derivatives,[P!v5],P,Valid
218,12,Conjugated olefins,[CR0]=[CR0][CR0]=[CR0][CR0]=[CR0][CR0]=[CR0],C=CC=CC=CC=C,Valid
219,22,"N,N-Dialkyl aniline derivatives (2)",[CX4][NX3]([CX4])c1c[cH]c([#7])[cH]c1,CN(C)c1c[cH]c(N)[cH]c1,Valid
220,18,"N,N-Dialkyl aniline derivatives (3)",[CX4][NX3]([CX4])c1ccc(C=C)cc1,CN(C)c1ccc(C=C)cc1,Valid
221,17,p-Alkoxy-N-alkyl anilines,[CX4][NH]c1ccc(O[CX4])cc1,C[NH]c1ccc(OC)cc1,Valid
222,17,"p-Alkoxy-N,N-dialkyl anilines",[CX4]N([CX4])c1ccc(O[CX4])cc1,COc1ccc(N(C)C)cc1,Valid
223,7,Phosphoric anhydrides,P(=O)OP(=O),O=POP=O,Valid
224,15,Thioxo-thiazolidinones,C1(=S)NC(=O)C(=[#6])S1,C=C1SC(=S)NC1=O,Valid
225,14,Glutarimides,C1CC(=O)NC(=O)C1,O=C1CCCC(=O)N1,Valid
226,6,Aliphatic chain,[CD1][CD2][CD2][CD2][CD2][CX4],CCCCCC,Valid
227,16,o-Substituted phenols (1),[OH]c1c(C=NN)cccc1,NN=Cc1ccccc1[OH],Valid
228,18,p-Substituted phenols,[OH]c1ccc(C=NN)cc1,NN=Cc1ccc([OH])cc1,Valid
229,20,Indolones,O=C1[#7]c2ccccc2C1=N[#7],NN=C1C(=O)Nc2ccccc21,Valid
230,14,o-Substituted phenols (2),[OH]c1c([CX4][#7])cccc1,NCc1ccccc1[OH],Valid
231,17,Tetrahydrofuranyltetrahydropyrans,C1COC(C1)C1CCCCO1,C1CCC(C2CCCO2)OC1,Valid
232,15,Octahydroisoindolones,[C!H0]1NC(=O)C2CCCCC12,O=C1NCC2CCCCC21,Valid
233,6,Tert-butyl carbon atom,c[CX4](c)c,cC(c)c,Valid
234,11,Azide tautomers,[#6]-[NX2-][NX2+]#[NX1;0],C[N-][N+]#N,Valid
235,6,Phosphorus cations,[#15+],[PH4+],Valid
236,10,Phosphates,[Pv5X4](=[OX1])([OX2])([OX2])[#6],CP(O)(O)=O,Valid
237,3,Double P=O bonds,[#15]=O,O=P,Valid
238,5,Thioalcohols,"[#6&!$(C(=[OX1,SX1,NX2]))][SX2H1]",C[SH],Valid
239,7,Anhydrides,[CX3](=[OX1])[OX2][CX3](=[OX1]),O=COC=O,Valid
240,3,Nitrosos,[NX2]=[OX1],N=O,Valid
241,10,Perfluoroalkylated compounds (PFCs),C(F)(F)C(F)(F),FC(F)C(F)F,Valid
242,7,Thioketones,[#6&!$(C#N)][CX3](=[SX1])[#6&!$(C#N)],CC(C)=S,Valid
243,5,Hydroxy compounds: alcohols or phenols,"[#6&!$([CX4]([OH1])[#8,#16,#7,#15])&!$([CX3]([OH1])=[OX1,SX1,NH2,C])][OH1]",C[OH],Valid
244,12,Secondary alcohols,[OH1][CX4H1]([#6])[#6],C[CH](C)[OH],Valid
245,12,Tertiary alcohols,[CX4]([OH1])([#6])([#6])[#6],CC(C)(C)[OH],Valid
246,5,Phenols,c[OH1],c[OH],Valid
247,3,Dialkylethers,"[CX4&!$([CX4]([OX2])([#7,O,S,F,Cl,Br,I,P]))][OX2][CX4&!$([CX4]([OX2])([#7,O,S,F,Cl,Br,I,P]))]",COC,Valid
248,3,Alkylarylethers,"[CX4&!$([CX4]([OX2])([#7,O,S,F,Cl,Br,I,P]))][OX2]c",COc,Valid
249,3,Diarylethers,c[OX2&!$([OX2r3])]c,cOc,Valid
250,6,Primary aliphatic amines,"[NX3H2][CX4&!$([CX4]([NH2])[O,N,S,P])]",C[NH2],Valid
251,6,Primary aromatic amines,[NX3H2]c,c[NH2],Valid
252,6,Secondary aliphatic amines,"[NX3H1]([CX4&!$([CX4]([NX3H1])[O,S,N,P])])[CX4&!$([CX4]([NX3H1])[O,S,N,P])]",C[NH]C,Valid
253,6,Secondary mixed amines (aryl alkyl),"c[NX3H1][CX4&!$([CX4]([NX3H1])[O,N,S,P])]",c[NH]C,Valid
254,6,Secondary aromatic amines,[NX3H1](c)c,c[NH]c,Valid
